Bolge,pusula_sirasi,sandikno,parti_adi_kisa,isim,soyisim,ilce,toplam_aldigi_oy_sayisi,toplam_aldigi_karma_oy_sayisi,toplam_aldigi_tercih_sayisi,toplam,Name
Lefkosa,1,1,UBP,Faiz,Sucuoğlu,LEFKOŞA,91,0,54,145,Lefkosa
Lefkosa,2,1,UBP,Olgun,Amcaoğlu,LEFKOŞA,91,1,49,141,Lefkosa
Lefkosa,3,1,UBP,Ahmet,Savaşan,LEFKOŞA,91,1,30,122,Lefkosa
Lefkosa,4,1,UBP,Sadık,Gardiyanoğlu,LEFKOŞA,91,0,41,132,Lefkosa
Lefkosa,5,1,UBP,Hasan,Taçoy,LEFKOŞA,91,0,42,133,Lefkosa
Lefkosa,6,1,UBP,Bertan,Zaroğlu,LEFKOŞA,91,0,21,112,Lefkosa
Lefkosa,7,1,UBP,Alişan,Şan,LEFKOŞA,91,0,25,116,Lefkosa
Lefkosa,8,1,UBP,Mehmet,Çelebioğlu,LEFKOŞA,91,0,25,116,Lefkosa
Lefkosa,9,1,UBP,Savaş,Atakan,LEFKOŞA,91,3,28,122,Lefkosa
Lefkosa,10,1,UBP,Zorlu,Töre,LEFKOŞA,91,1,29,121,Lefkosa
Lefkosa,11,1,UBP,Özgür,Arıkan,LEFKOŞA,91,0,7,98,Lefkosa
Lefkosa,12,1,UBP,Havva,Dağsever,LEFKOŞA,91,0,18,109,Lefkosa
Lefkosa,13,1,UBP,Fisun,Özsun,LEFKOŞA,91,0,25,116,Lefkosa
Lefkosa,14,1,UBP,Nurcan,Yardımcı,LEFKOŞA,91,0,18,109,Lefkosa
Lefkosa,15,1,UBP,Özlem,Sefer,LEFKOŞA,91,0,17,108,Lefkosa
Lefkosa,16,1,UBP,Sevil,Yönlüer,LEFKOŞA,91,0,19,110,Lefkosa
Lefkosa,1,1,UBP,Sunat,Atun,GAZİMAĞUSA,91,0,42,133,Lefkosa
Lefkosa,2,1,UBP,Dursun,Oğuz,GAZİMAĞUSA,91,1,26,118,Lefkosa
Lefkosa,3,1,UBP,Oğuzhan,Hasipoğlu,GAZİMAĞUSA,91,0,43,134,Lefkosa
Lefkosa,4,1,UBP,Mehmet,Başman,GAZİMAĞUSA,91,0,16,107,Lefkosa
Lefkosa,5,1,UBP,Hakan,Dinçyürek,GAZİMAĞUSA,91,0,24,115,Lefkosa
Lefkosa,6,1,UBP,Resmiye,Eroğlu Canaltay,GAZİMAĞUSA,91,0,31,122,Lefkosa
Lefkosa,7,1,UBP,İrem,Uygun Soyşen,GAZİMAĞUSA,91,0,10,101,Lefkosa
Lefkosa,8,1,UBP,Hüseyin,Çavuş,GAZİMAĞUSA,91,0,29,120,Lefkosa
Lefkosa,9,1,UBP,Meryem,Boyacı,GAZİMAĞUSA,91,0,13,104,Lefkosa
Lefkosa,10,1,UBP,Gürsel,Uzun,GAZİMAĞUSA,91,3,18,112,Lefkosa
Lefkosa,11,1,UBP,Bora,Akkuş,GAZİMAĞUSA,91,0,6,97,Lefkosa
Lefkosa,12,1,UBP,Sultan,Vural,GAZİMAĞUSA,91,0,8,99,Lefkosa
Lefkosa,13,1,UBP,Elif,Abiç,GAZİMAĞUSA,91,1,4,96,Lefkosa
Lefkosa,1,1,UBP,Kutlu,Evren,GİRNE,91,0,32,123,Lefkosa
Lefkosa,2,1,UBP,Ünal,Üstel,GİRNE,91,1,22,114,Lefkosa
Lefkosa,3,1,UBP,İzlem,Gürçağ Altuğra,GİRNE,91,1,35,127,Lefkosa
Lefkosa,4,1,UBP,Özdemir,Berova,GİRNE,91,0,33,124,Lefkosa
Lefkosa,5,1,UBP,Ferhat,Erişir,GİRNE,91,0,19,110,Lefkosa
Lefkosa,6,1,UBP,Türel,Özer Öksüzoğlu,GİRNE,91,0,22,113,Lefkosa
Lefkosa,7,1,UBP,Hasan,Küçük,GİRNE,91,0,24,115,Lefkosa
Lefkosa,8,1,UBP,Selim,Gökbörü,GİRNE,91,0,9,100,Lefkosa
Lefkosa,9,1,UBP,Mehmet Ali,Tunçbilek,GİRNE,91,0,11,102,Lefkosa
Lefkosa,10,1,UBP,Zalihe,Damdelen,GİRNE,91,0,12,103,Lefkosa
Lefkosa,11,1,UBP,Münevver,Çağın,GİRNE,91,0,11,102,Lefkosa
Lefkosa,1,1,UBP,Ali,Pilli,GÜZELYURT,91,2,33,126,Lefkosa
Lefkosa,2,1,UBP,Ziya,Öztürkler,GÜZELYURT,91,0,9,100,Lefkosa
Lefkosa,3,1,UBP,Hasan,Büyükoğlu,GÜZELYURT,91,0,8,99,Lefkosa
Lefkosa,1,1,UBP,Nazım,Çavuşoğlu,İSKELE,91,1,22,114,Lefkosa
Lefkosa,2,1,UBP,Yasemi,Öztürk,İSKELE,91,0,29,120,Lefkosa
Lefkosa,3,1,UBP,Mesut,Genç,İSKELE,91,0,10,101,Lefkosa
Lefkosa,4,1,UBP,Emrah,Yeşilırmak,İSKELE,91,1,4,96,Lefkosa
Lefkosa,5,1,UBP,Osman,Kırşan,İSKELE,91,3,27,121,Lefkosa
Lefkosa,1,1,UBP,Fırtına,Karanfil,LEFKE,91,3,19,113,Lefkosa
Lefkosa,2,1,UBP,Aytaç,Çaluda,LEFKE,91,0,32,123,Lefkosa
Lefkosa,1,1,CTP,Tufan,Erhürman,LEFKOŞA,101,8,56,165,Lefkosa
Lefkosa,2,1,CTP,Ürün,Solyalı,LEFKOŞA,101,3,48,152,Lefkosa
Lefkosa,3,1,CTP,Derviş,Deniz,LEFKOŞA,101,3,32,136,Lefkosa
Lefkosa,4,1,CTP,Sıla,Usar İncirli,LEFKOŞA,101,7,44,152,Lefkosa
Lefkosa,5,1,CTP,Muhittin,Tolga Özsağlam,LEFKOŞA,101,4,27,132,Lefkosa
Lefkosa,6,1,CTP,Doğuş,Derya,LEFKOŞA,101,8,52,161,Lefkosa
Lefkosa,7,1,CTP,Devrim,Barçın,LEFKOŞA,101,6,51,158,Lefkosa
Lefkosa,8,1,CTP,Filiz,Besim,LEFKOŞA,101,3,38,142,Lefkosa
Lefkosa,9,1,CTP,Ahmet,Muratoğlu,LEFKOŞA,101,4,22,127,Lefkosa
Lefkosa,10,1,CTP,Ödül,Muhtaroğlu,LEFKOŞA,101,3,25,129,Lefkosa
Lefkosa,11,1,CTP,Cenk,Paşa,LEFKOŞA,101,0,25,126,Lefkosa
Lefkosa,12,1,CTP,Haffe,Işısal,LEFKOŞA,101,0,14,115,Lefkosa
Lefkosa,13,1,CTP,Hasan,Ecer,LEFKOŞA,101,2,12,115,Lefkosa
Lefkosa,14,1,CTP,Ayşe,Alioğlu,LEFKOŞA,101,1,14,116,Lefkosa
Lefkosa,15,1,CTP,Derviş,Bladanlı,LEFKOŞA,101,1,17,119,Lefkosa
Lefkosa,16,1,CTP,Hülya,Batunlu,LEFKOŞA,101,1,8,110,Lefkosa
Lefkosa,1,1,CTP,Asım,Akansoy,GAZİMAĞUSA,101,6,49,156,Lefkosa
